user_id,category,total_tweets,relevant_tweets,interest_percent,suggested
2147483647,animals,97,14,14.433,yes
2147483647,OLD,100,1,1,no
805204795,OLD,98,4,4.08163,no
16410731,OLD,44,3,6.81818,no
2147483647,WOMEN,90,1,1.11111,no
2147483647,animals,100,2,2,no
2147483647,OLD,79,13,16.4557,yes
1514168304,OLD,99,3,3.0303,no
2147483647,OLD,100,5,5,no
18807432,OLD,100,6,6,no
1578979350,OLD,99,12,12.1212,yes
2147483647,WOMEN,100,5,5,no
2147483647,OLD,96,7,7.29167,no
2147483647,CHILD,99,41,41.4141,yes
409353413,animals,100,6,6,no
2147483647,WOMEN,84,13,15.4762,yes
2147483647,OLD,91,5,5.49451,no
561375418,OLD,99,9,9.09091,yes
2147483647,WOMEN,99,11,11.1111,yes
2147483647,animals,100,11,11,yes
359938731,WOMEN,83,10,12.0482,yes
2147483647,HEALTH,99,1,1.0101,no
571779928,OLD,80,9,11.25,yes
2147483647,OLD,100,4,4,no
26469886,animals,70,7,10,yes
2147483647,WOMEN,96,2,2.08333,no
2147483647,animals,96,1,1.04167,no
149238624,OLD,65,2,3.07692,no
2147483647,OLD,98,9,9.18367,yes
25488589,HEALTH,49,3,6.12245,no
1183004004,WOMEN,94,5,5.31915,no
741517369,WOMEN,86,10,11.6279,yes
2147483647,OLD,99,1,1.0101,no
2147483647,animals,97,5,5.15464,no
2147483647,OLD,100,5,5,no
2147483647,OLD,5,1,20,yes
2147483647,HEALTH,67,3,4.47761,no
2147483647,OLD,63,1,1.5873,no
2147483647,animals,400,48,12,yes
2147483647,WOMEN,82,5,6.09756,no
2147483647,WOMEN,97,7,7.2165,no
182366037,WOMEN,91,9,9.89011,yes
2147483647,WOMEN,99,3,3.0303,no
2147483647,OLD,99,5,5.05051,no
29523364,OLD,97,11,11.3402,yes
1951406928,OLD,98,12,12.2449,yes
2147483647,animals,100,10,10,yes
2147483647,WOMEN,100,5,5,no
2147483647,WOMEN,94,4,4.25532,no
70192901,animals,100,4,4,no
2147483647,WOMEN,80,4,5,no
241173327,WOMEN,98,9,9.18367,no
2147483647,WOMEN,99,5,5.05051,no
294352208,OLD,49,4,8.16327,yes
2147483647,animals,192,14,7.29167,no
1148627887,animals,59,4,6.77966,no
1243599278,OLD,61,4,6.55738,no
1005102522,OLD,74,9,12.1622,yes
2147483647,WOMEN,96,8,8.33333,no
333483834,OLD,56,3,5.35714,no
2147483647,CHILD,65,6,9.23077,yes
1087725583,WOMEN,95,6,6.31579,no
784957262,OLD,100,13,13,yes
26188993,OLD,90,6,6.66667,no
2147483647,OLD,79,8,10.1266,yes
2147483647,OLD,100,8,8,yes
14976738,OLD,100,13,13,yes
250436063,OLD,95,10,10.5263,yes
580636399,OLD,65,10,15.3846,yes
599368389,OLD,97,7,7.2165,no
2147483647,OLD,29,4,13.7931,yes
19604274,OLD,174,12,6.89655,no
1373830134,OLD,91,3,3.2967,no
2147483647,WOMEN,94,3,3.19149,no
24943151,WOMEN,98,12,12.2449,yes
314090435,CHILD,99,5,5.05051,no
976397616,animals,88,10,11.3636,yes
2147483647,CHILD,24,6,25,yes
159614741,WOMEN,86,6,6.97674,no
2147483647,OLD,91,15,16.4835,yes
862238221,OLD,100,3,3,no
493983763,OLD,80,14,17.5,yes
944722255,animals,83,7,8.43373,no
2147483647,animals,97,11,11.3402,yes
18066673,animals,92,2,2.17391,no
2147483647,OLD,87,10,11.4943,yes
1913295511,OLD,84,12,14.2857,yes
265489252,WOMEN,73,6,8.21918,no
464087935,animals,89,9,10.1124,yes
946306705,OLD,100,9,9,yes
388766127,WOMEN,85,10,11.7647,yes
1169233945,OLD,93,9,9.67742,yes
378039913,OLD,76,6,7.89474,yes
2147483647,animals,200,10,5,no
2147483647,WOMEN,200,10,5,no
211372757,WOMEN,99,9,9.09091,no
18412711,WOMEN,100,8,8,no
155283094,WOMEN,90,11,12.2222,yes
254315258,OLD,92,29,31.5217,yes
2147483647,animals,200,27,13.5,yes
2147483647,OLD,98,9,9.18367,yes
499790966,OLD,87,2,2.29885,no
460233855,animals,78,1,1.28205,no
2147483647,OLD,97,17,17.5258,yes
366130501,OLD,73,3,4.10959,no
2147483647,HEALTH,100,7,7,no
158838519,WOMEN,100,6,6,no
2147483647,OLD,100,1,1,no
2147483647,OLD,98,4,4.08163,no
2147483647,OLD,100,2,2,no
2147483647,animals,100,14,14,yes
969375810,WOMEN,88,12,13.6364,yes
2147483647,WOMEN,78,5,6.41026,no
2147483647,OLD,300,9,3,no
126145029,OLD,93,6,6.45161,no
