"1","#childabuse","90","CHILD"
"2","#childprotection","100","CHILD"
"3","#childtrafficking","100","CHILD"
"4","#childeducation","21","CHILD"
"5","#childlabour","100","CHILD"
"6","#childpoverty","100","CHILD"
"7","#streetchild","10","CHILD"
"8","cancer","98","HEALTH"
"9","HIV AIDS","100","HEALTH"
"10","#tobacco","100","HEALTH"
"11","#endpolio","100","HEALTH"
"12","#fightcancer","100","HEALTH"
"13","#healthcare","100","HEALTH"
"14","cancer control","100","HEALTH"
"15","health awareness","84","HEALTH"
"16","#savelife","17","HEALTH"
"17","#animalwelfare","100","ANIMAL"
"18","slaughtered","100","ANIMAL"
"19","#animalabuse","100","ANIMAL"
"20","#AnimalCruelty","100","ANIMAL"
"21","animal adopt","75","ANIMAL"
"22","#animalhelp","1","ANIMAL"
"23","#animalrights","100","ANIMAL"
"24","animals killed","100","ANIMAL"
"25","womensuffering","0","WOMEN"
"26","#womensempowerment","100","WOMEN"
"27","#domesticviolence","91","WOMEN"
"28","#womensinequality","0","WOMEN"
"29","#womensright","100","WOMEN"
"30","#heforshe","100","WOMEN"
"31","#betibachao","88","WOMEN"
"32","#savegirlchild","43","WOMEN"
"33","#Elderlaws","0","OLD_AGE"
"34","#Elderlycare","100","OLD_AGE"
"35","#RespectfortheAgedDay","0","OLD_AGE"
"36","#Elderrights","0","OLD_AGE"
"37","#WorldElderAbuseAwarenessDay","26","OLD_AGE"
"38","elder mistreatment","26","OLD_AGE"
"39","elder people","100","OLD_AGE"
"40","#helpAlzheimers","0","OLD_AGE"
"41","Old Age Home","100","OLD_AGE"
"42","old age parents","100","OLD_AGE"
"43","senior citizen","47","OLD_AGE"
"44","Silver Citizens","72","OLD_AGE"
