JennKoDesign,77,8,10.3896,Vancouver,654,https://pbs.twimg.com/profile_images/378800000167526714/2c1f288565cd72c8252e86dcd3d72239_normal.jpeg
bluetiedesigns,47,1,2.12766,lost in a lost world,173,https://pbs.twimg.com/profile_images/569017452529344512/JylSpnKi_normal.jpeg
JuiceBrighton,98,1,1.02041,Brighton,25407,https://pbs.twimg.com/profile_images/734744880757493760/oKcoCULK_normal.jpg
wotdhaiku,80,2,2.5,Philippines/Singapore,174,https://pbs.twimg.com/profile_images/1081053663/mypictrdrawingTwitter_normal.jpg
caroline_grieve,100,16,16,Greater Vancouver,724,https://pbs.twimg.com/profile_images/661288281938657280/qjS0nMHn_normal.jpg
Robert_M_Reyes,100,10,10,none,550,https://pbs.twimg.com/profile_images/746573032789934080/V-r8aGoY_normal.jpg
SbzacStephanie,99,8,8.08081,United States,56,https://pbs.twimg.com/profile_images/653096728749580288/Wu2nsC4w_normal.jpg
Islands_of_Cats,74,12,16.2162,Malta,241,https://pbs.twimg.com/profile_images/694154922019962880/hKx7PY3G_normal.jpg
DianeSymons,83,4,4.81928,"Perkasie, Pa",1869,https://pbs.twimg.com/profile_images/470393392/05-16-08_1714_normal.jpg
MuttButs,95,13,13.6842,"Georgia, USA",1521,https://pbs.twimg.com/profile_images/688470702366789632/0grOkBRa_normal.png
Copo1966,64,2,3.125,Midlands,1357,https://pbs.twimg.com/profile_images/579341256272277504/eqHmRZ8U_normal.jpg
DeniseFinneyArt,100,4,4,Devon,1216,https://pbs.twimg.com/profile_images/3613078181/0c25e46877e6111cf5743a0adb5eef6a_normal.jpeg
ISF_GER_MS,84,2,2.38095,none,26,https://pbs.twimg.com/profile_images/753276629347078144/2GFhkuef_normal.jpg
caliop4,93,2,2.15054,none,476,https://pbs.twimg.com/profile_images/711390105685106688/R5m31kjJ_normal.jpg
nevermore_007,96,2,2.08333,Global Citizen ,3974,https://pbs.twimg.com/profile_images/549231353859149824/RYqzze3P_normal.jpeg
cjnoyes,100,1,1,New York City,248,https://pbs.twimg.com/profile_images/2337649834/fn17vtu90cn0fr1l99o3_normal.png
Wgarrar,88,8,9.09091,none,969,https://pbs.twimg.com/profile_images/744164414329257984/ZfzIA_n7_normal.jpg
Edelmiro1961,66,4,6.06061,Aquimismo,2018,https://pbs.twimg.com/profile_images/493395084188995586/6bBvUbU2_normal.png
jijmpel,97,4,4.12371,none,1422,https://pbs.twimg.com/profile_images/733592194242609152/9fvv5uLt_normal.jpg
julaydeandorra,86,5,5.81395,Andorra,49,https://pbs.twimg.com/profile_images/753637775052791808/aRxU6aPS_normal.jpg
FrauDanielle,91,12,13.1868,none,434,https://pbs.twimg.com/profile_images/754148078043684864/ESNsay_p_normal.jpg
BocaLegend,80,1,1.25,"Palm Beach County, Florida",9184,https://pbs.twimg.com/profile_images/3308222843/79eb2fcb92104b5f647afa4725cbdf85_normal.png
zaffycorkyollie,97,4,4.12371,none,3246,https://pbs.twimg.com/profile_images/436876595228573696/LyVZp_v6_normal.jpeg
HulyaCAYIR,94,1,1.06383,Turkey,11190,https://pbs.twimg.com/profile_images/744155662490435584/JSDHufKJ_normal.jpg
Best_Frd_Buddy,88,19,21.5909,"Atlanta, GA",337,https://pbs.twimg.com/profile_images/687321559925698560/XhkAXhoG_normal.jpg
mishaleesoriano,100,4,4,Where My Shadow Is,71,https://pbs.twimg.com/profile_images/746015915456663552/HGEEytpL_normal.jpg
care4allanimals,100,43,43,none,2878,https://pbs.twimg.com/profile_images/491217229678002177/mbufK5eM_normal.jpeg
melody_1159,70,1,1.42857,Italia,1533,https://pbs.twimg.com/profile_images/754267916342796289/tzIWbwba_normal.jpg
franbets,89,10,11.236,none,2292,https://pbs.twimg.com/profile_images/661254804828782592/gk_oWBGU_normal.jpg
livephillylife,100,1,1,"Philadelphia, PA",415,https://pbs.twimg.com/profile_images/646646235185680384/SipHl9tl_normal.jpg
CBSPhilly,100,1,1,Philadelphia,117021,https://pbs.twimg.com/profile_images/750278633105809408/KRfFS6N__normal.jpg
CarolynD72355,51,1,1.96078,none,42,https://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png
PSPCA,91,5,5.49451,Pennsylvania,6352,https://pbs.twimg.com/profile_images/452112915672211457/19b8DsxV_normal.jpeg
jenh171,64,3,4.6875,NJ,444,https://pbs.twimg.com/profile_images/727273426755440640/AFacxB83_normal.jpg
bernieT36,97,5,5.15464,Manchester,1256,https://pbs.twimg.com/profile_images/745536927047180288/LOcwQmGO_normal.jpg
JamesDalrimple,93,1,1.07527, Bournemouth,1496,https://pbs.twimg.com/profile_images/3750683581/3b7bf62f91d225932b733502c615d209_normal.jpeg
wizardQi,100,1,1,"Conway, New Hampshire, USA",2980,https://pbs.twimg.com/profile_images/449895466855956480/iMAdf9do_normal.jpeg
Remzi2Louisa,49,2,4.08163,Cambridge,385,https://pbs.twimg.com/profile_images/698994163774332928/sgtoEMEh_normal.jpg
Chrissyh_,85,4,4.70588,Germany,127,https://pbs.twimg.com/profile_images/718102240456794112/fP14T4Wp_normal.jpg
ruhithallon,100,11,11,none,2886,https://pbs.twimg.com/profile_images/746636211146489858/UDg3xirw_normal.jpg
tagliento80,100,10,10,"Bologna, Emilia Romagna",542,https://pbs.twimg.com/profile_images/748221815475015680/Z74b8e5-_normal.jpg
HelpAnimalsIN,5,3,60,none,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png
porkpiepres,96,1,1.04167,"??? Toyooka, Japan",457,https://pbs.twimg.com/profile_images/1796351377/20060428203719_normal.jpg
tortoise_lotus,99,1,1.0101,none,228,https://pbs.twimg.com/profile_images/527307411388764160/KsRh7KKb_normal.jpeg
StuarattSJ,100,2,2,"Tean, Staffordshire",1788,https://pbs.twimg.com/profile_images/661205590165872641/chkJOYXR_normal.png
FURisNOTfashion,98,2,2.04082,Everywhere,1764,https://pbs.twimg.com/profile_images/672866009678815232/NXTCZfE-_normal.jpg
aakashsingh97,100,2,2,none,371,https://pbs.twimg.com/profile_images/717239777695674368/LNDOgAcn_normal.jpg
VeganShoesLon,89,43,48.3146,London England,1137,https://pbs.twimg.com/profile_images/747792863166144512/U_127TcB_normal.jpg
bhindglasswalls,95,7,7.36842,"Worthing, West Sussex, Uk",821,https://pbs.twimg.com/profile_images/554871000731762689/Nq1SZlxk_normal.jpeg
blaisesc_____,99,12,12.1212,SUISSE,604,https://pbs.twimg.com/profile_images/574275197118734336/MrAEaODY_normal.jpeg
LisaWallis5,95,2,2.10526,none,637,https://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png
tara_lesant,97,7,7.2165,"Reading, England",607,https://pbs.twimg.com/profile_images/717787290962108418/gQaZ8l4t_normal.jpg
PawsGeorge,96,10,10.4167,"London, England",1849,https://pbs.twimg.com/profile_images/604735845791354880/wC8TINcJ_normal.jpg
Fyrraven,90,4,4.44444,"Tacoma, WA",135,https://pbs.twimg.com/profile_images/592263340/lionroxie_1__normal.jpg
SeanWensley,97,12,12.3711,UK,807,https://pbs.twimg.com/profile_images/646365181556056064/UttaqczK_normal.png
auctions4nets,100,3,3,"Cleveland, OH - San Diego, CA",565,https://pbs.twimg.com/profile_images/2379673438/ekj7snoj75x2jb6e7rlw_normal.jpeg
Ozzyopolis,100,3,3,"Letchworth, England",494,https://pbs.twimg.com/profile_images/621340193434370048/YHbtwgpd_normal.png
