"friday_releases","90","2","2.22222","none","5","https://pbs.twimg.com/profile_images/621628998351589377/nPFFG1-e_normal.jpg"
"Priyal__Patel","90","2","2.22222","Ahmedabad, India","58","https://pbs.twimg.com/profile_images/530231759083151360/7RJpk4bX_normal.jpeg"
"nileshpatel4935","90","2","2.22222","Ahmedabad","11","https://pbs.twimg.com/profile_images/651081739196993536/EQYWLwcS_normal.jpg"
"NewAgeCinema","90","1","1.11111","India","27","https://pbs.twimg.com/profile_images/378800000525168401/5a62b84dab63b9421540abf3e31c6de7_normal.jpeg"
"yeslostandfound","100","1","1","none","140","https://pbs.twimg.com/profile_images/717966856565329921/8V7pQ2ds_normal.jpg"
"vijal_gupta","90","2","2.22222","Gujarat, India ","18","https://pbs.twimg.com/profile_images/665019128693006336/YsqPoeln_normal.jpg"
"TriMobileDental","84","1","1.19048","Chapel Hill, NC","36","https://pbs.twimg.com/profile_images/748200661511245824/t7Y8nap5_normal.jpg"
"just_garlic","100","11","11","Northampton, England","5595","https://pbs.twimg.com/profile_images/730677576910422016/g3Vrpm8L_normal.jpg"
"fightingfit4eva","100","2","2","Northampton, England","3641","https://pbs.twimg.com/profile_images/737940777087565824/Ram3owwQ_normal.jpg"
"oldagetweets","99","9","9.09091","New Delhi","57","https://pbs.twimg.com/profile_images/587910075936718848/Xpxg42Cb_normal.png"
"nutritiousmenu","100","10","10","Northampton, England","2727","https://pbs.twimg.com/profile_images/740426380484222977/df2pFqg-_normal.jpg"
"hendren3lh","100","5","5","Oceanside, CA","163","https://pbs.twimg.com/profile_images/747133275026513920/B0-9YUQo_normal.jpg"
"youcanbhealthy","100","5","5","Northampton, UK","40386","https://pbs.twimg.com/profile_images/597507145500925953/gnHc2IXn_normal.jpg"
"room2care","99","5","5.05051","Miami, FL","974","https://pbs.twimg.com/profile_images/501682374262800384/X2Z7PIhu_normal.jpeg"
"BHaigh1","80","2","2.5","none","10","https://pbs.twimg.com/profile_images/420550107340107776/8BXOrwg2_normal.jpeg"
"perrynitaj","82","1","1.21951","Tooele, UT","402","https://pbs.twimg.com/profile_images/652153760043524096/NLNrDxg4_normal.jpg"
"eCare21","95","3","3.15789","US","742","https://pbs.twimg.com/profile_images/568993518035533824/3ErxnEdB_normal.jpeg"
"nctrianglegirl","52","2","3.84615","Raleigh, NC","115","https://pbs.twimg.com/profile_images/745704629623750657/Ok2pAmHE_normal.jpg"
"LeedsLoversUK","100","1","1","Leeds, England","7204","https://pbs.twimg.com/profile_images/619086846660870144/rHCgGrgV_normal.jpg"
"BigFreeDir","99","1","1.0101","England, United Kingdom","2734","https://pbs.twimg.com/profile_images/674335553677074433/D6uZzpCM_normal.jpg"
"TweetYourLeeds","100","3","3","Leeds, West Yorkshire","1161","https://pbs.twimg.com/profile_images/553502306646257664/zulXyXi2_normal.jpeg"
"LeedsReTweet","100","4","4","Leeds, Yorkshire","3322","https://pbs.twimg.com/profile_images/378800000301884959/030452fdddd13d8ad32da858fe452b1d_normal.jpeg"
"BluebirdCareLDS","58","1","1.72414","Leeds, uk","2212","https://pbs.twimg.com/profile_images/378800000088822989/c622edeebe86455745bdb23ae5af8c98_normal.jpeg"
"intratelecare","69","1","1.44928","National ","204","https://pbs.twimg.com/profile_images/730480715096326145/S8HDIwkT_normal.jpg"
"seniorshelf","100","1","1","Mumbai","62","https://pbs.twimg.com/profile_images/378800000263371786/452ba54c179309835d860e1e87fbdab7_normal.png"
"RightatHomeWM","100","5","5","West Midland (S) 0121 363 0046","249","https://pbs.twimg.com/profile_images/515128521690071041/jzSnqjLY_normal.jpeg"
"matchainfo","100","5","5","Northampton, England","2693","https://pbs.twimg.com/profile_images/740829285120937984/my40jPIX_normal.jpg"
"maggke","92","2","2.17391","ATL","570","https://pbs.twimg.com/profile_images/723951616039092224/gZSswLTK_normal.jpg"
"AdvanceatHomePT","100","5","5","New Hyde Park, NY","149","https://pbs.twimg.com/profile_images/624934137665748992/Lbbkwskt_normal.png"
"ecareplan","100","4","4","Yorkshire and The Humber","763","https://pbs.twimg.com/profile_images/677799059269148672/f6sD2fts_normal.jpg"
"Fusion4Care","100","5","5","Yorkshire","509","https://pbs.twimg.com/profile_images/751070806680150020/TY4R23K0_normal.jpg"
"TheJackieBrook","92","5","5.43478","Yorkshire","2380","https://pbs.twimg.com/profile_images/749950985762725889/-dsy535C_normal.jpg"
"CINBlog","100","8","8","UK","11331","https://pbs.twimg.com/profile_images/654591995147644928/jpQrnTYu_normal.jpg"
"HomeHlprsWBronx","86","6","6.97674","West Bronx, NY","491","https://pbs.twimg.com/profile_images/712274053634125825/NPJaDER7_normal.jpg"
"Fincch_","94","3","3.19149","United Kingdom","253","https://pbs.twimg.com/profile_images/677073124660281344/aktuUNwt_normal.png"
"CareShow","99","3","3.0303","Birmingham, England","4457","https://pbs.twimg.com/profile_images/695610914473668608/2u_cTvIV_normal.png"
"jasmin15862761","100","1","1","BANGALORE, INDIA","2504","https://pbs.twimg.com/profile_images/378800000603579053/e43885bebc30b0445e395be0d351e209_normal.jpeg"
"deepakkhatri812","100","4","4","Chhattisgarh, India","1034","https://pbs.twimg.com/profile_images/717804141825753088/MZNelp8Q_normal.jpg"
"SCBALAS1975","89","3","3.37079","Longwood, FL","22","https://pbs.twimg.com/profile_images/733370235470909441/eCC0n4FQ_normal.jpg"
"Bediadom","98","12","12.2449","none","36","https://pbs.twimg.com/profile_images/478973238635020288/jf4Fiue1_normal.jpeg"
"Egoyibo_","68","5","7.35294","Hull, England","1484","https://pbs.twimg.com/profile_images/746405226631016449/yyKyL2Cf_normal.jpg"
"KokoCort","77","4","5.19481","Where the sidewalk ends","570","https://pbs.twimg.com/profile_images/753392776079896576/eHYWRCEX_normal.jpg"
"Panhandlebound","90","3","3.33333","none","726","https://pbs.twimg.com/profile_images/700518299549839360/WUV0OC8K_normal.jpg"
"WeinerMcCulloch","99","7","7.07071","Houston, TX","134","https://pbs.twimg.com/profile_images/1606477834/3841477_1_normal.jpg"
"BDOttewill","95","2","2.10526","Waterloo, ON","100","https://pbs.twimg.com/profile_images/719595665584730112/_wV8OlEi_normal.jpg"
"Kuntreehart1","99","7","7.07071","Missouri, USA","44","https://pbs.twimg.com/profile_images/753365831204036608/-Hua35oW_normal.jpg"
"lindasalcfas","100","2","2","new jersey","328","https://pbs.twimg.com/profile_images/638497680860155904/SexuX3ox_normal.png"
"NextAvenue","100","1","1","none","17009","https://pbs.twimg.com/profile_images/2120739903/Twitter_NextAve-1_normal.png"
"UANurseResearch","100","6","6","Edmonton, Alberta, Canada","625","https://pbs.twimg.com/profile_images/530096221772197888/RfnrUEFu_normal.jpeg"
"AlbertaRNs","100","1","1","Alberta","2115","https://pbs.twimg.com/profile_images/712750016377409537/DeBSAqZ2_normal.jpg"
"hcomnews","100","1","1","New York, NY","532","https://pbs.twimg.com/profile_images/378800000144009557/d96de60e57537d383b43eb59a153e05f_normal.jpeg"
"Aging_Society","99","6","6.06061","Washington, DC","14384","https://pbs.twimg.com/profile_images/802797461/Academy_Logo_normal.jpg"
"GeroAmericano","90","4","4.44444","Pittsburgh","2080","https://pbs.twimg.com/profile_images/735343545465360386/XJHigO-v_normal.jpg"
"sajuks","95","2","2.10526","Mumbai, India","11255","https://pbs.twimg.com/profile_images/3555059467/d8276226526c4e1d75a61e8f621c7284_normal.jpeg"
"Elder_Lucky","84","2","2.38095","          Isle of the Blessed","1192","https://pbs.twimg.com/profile_images/753842029281415173/b1zphkD4_normal.jpg"
"sharmanhand1975","100","1","1","????","160","https://pbs.twimg.com/profile_images/740198408284053504/DXRCzaap_normal.jpg"
"Adrianuve","92","3","3.26087","none","209","https://pbs.twimg.com/profile_images/720318333879496705/KkMrbvLc_normal.jpg"
"asmith1024","91","2","2.1978","Melbourne, Australia","73","https://pbs.twimg.com/profile_images/1063064832/Profile_normal.jpg"
"moto26261","64","2","3.125","United Kingdom","1081","https://pbs.twimg.com/profile_images/657187692816412672/KFUAeFi1_normal.png"
"DiverseROCKSTAR","100","7","7","Melbourne, Victoria","242","https://pbs.twimg.com/profile_images/706460376418783234/4ZvowQLm_normal.jpg"
"Bhavna_Sa","98","3","3.06122","OZ","1234","https://pbs.twimg.com/profile_images/730238482879152129/ZWKCcCUn_normal.jpg"
"lexie_elder","93","1","1.07527","none","241","https://pbs.twimg.com/profile_images/750092932074450944/KW1JOy4D_normal.jpg"
"Wombatfinance","86","5","5.81395","Sydney and the happy islands.","3352","https://pbs.twimg.com/profile_images/971138556/9wombat_normal.jpg"
"andrewhahalee","91","1","1.0989","ÜT: 1.340447,103.704648","489","https://pbs.twimg.com/profile_images/736160026679607297/3QT-D4JX_normal.jpg"
"MorpheusUnderwo","13","1","7.69231","Kevin's Ego","248","https://pbs.twimg.com/profile_images/597369307543113728/AdF8wkl9_normal.jpg"
"BruhnRose","91","7","7.69231","none","4116","https://pbs.twimg.com/profile_images/469491360228069376/zNv49Oih_normal.jpeg"
"valgms","100","1","1","Australia","546","https://pbs.twimg.com/profile_images/497582339333976065/ZZHh-GsC_normal.jpeg"
"evolvox","94","1","1.06383","Victoria","171","https://pbs.twimg.com/profile_images/2736571517/c66974293ac167c6d107e9dba8d44ebe_normal.jpeg"
"Hught2aswell","79","9","11.3924","A world minus radical freaks","68","https://pbs.twimg.com/profile_images/711303724224765952/m1kuebZO_normal.jpg"
"chadarmy","31","2","6.45161","Australia","50","https://pbs.twimg.com/profile_images/2292122591/pxgr4oq7e795fnmbck97_normal.jpeg"
"SidFarked","92","2","2.17391","Gaborone, Botswana","567","https://pbs.twimg.com/profile_images/748836538516054016/RstGLrr9_normal.jpg"
"kramphillips","99","4","4.0404","Queensland, Australia","398","https://pbs.twimg.com/profile_images/631407826259218432/vlFsRMPs_normal.jpg"
"gtperkins","96","6","6.25"," Australia ","235","https://pbs.twimg.com/profile_images/378800000603367513/7a79f03fe8cc44731533fa82028afdac_normal.jpeg"
"HallRaelene","80","3","3.75","Meekatharra, Western Australia","443","https://pbs.twimg.com/profile_images/723299844765282304/sCYUXwlO_normal.jpg"
"826Maureen","76","2","2.63158","RIVERINA. NSW ","1533","https://pbs.twimg.com/profile_images/754157786968174593/uxl9qXuy_normal.jpg"
"SharonUren","92","5","5.43478","Australia","3224","https://pbs.twimg.com/profile_images/728817617427824640/3kfiHbSF_normal.jpg"
"brown01932643","74","3","4.05405","none","68","https://pbs.twimg.com/profile_images/749906139060400129/aBROnGVH_normal.jpg"
"OZzSue","64","4","6.25"," Australia","5456","https://pbs.twimg.com/profile_images/750271342730092544/4vk_dNBC_normal.jpg"
"davidmatheson27","100","2","2","Victoria, Australia","1149","https://pbs.twimg.com/profile_images/750167443331395585/vRLP8GUO_normal.jpg"
"basham8888","96","3","3.125","none","1351","https://pbs.twimg.com/profile_images/439928916128456704/3KEmyw6x_normal.jpeg"
"pisst1","72","2","2.77778","none","237","https://pbs.twimg.com/profile_images/650522774612512768/bNEGTuAR_normal.jpg"
"mes_alliance","47","1","2.12766","none","421","https://pbs.twimg.com/profile_images/683423204652613632/9T8kwDrO_normal.jpg"
"dennazzdennis","12","3","25","none","20","https://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png"
"artofrandomness","89","3","3.37079","Brisbane, Queensland","151","https://pbs.twimg.com/profile_images/726571681670557696/Rhc06IVh_normal.jpg"
"jmnorwood","92","1","1.08696","London, Ontario","159","https://pbs.twimg.com/profile_images/751190400623218688/MgEHy-7B_normal.jpg"
"LittleWombat666","78","7","8.97436","#opBEAST #TeamTommy #LOLislam","8472","https://pbs.twimg.com/profile_images/590707445514838017/tIVwKo6-_normal.png"
"MartinVine4","96","6","6.25","none","56","https://pbs.twimg.com/profile_images/637565550277693440/5dlWW8YE_normal.jpg"
"BellzWebster","99","8","8.08081","Australia","776","https://pbs.twimg.com/profile_images/571234492203823104/mriCN8hp_normal.jpeg"
"LibbyRafferty","96","4","4.16667","none","688","https://pbs.twimg.com/profile_images/604802854151323648/aV3TsLZ-_normal.jpg"
"mosttattooedguy","79","1","1.26582","(she/her)","911","https://pbs.twimg.com/profile_images/752957525188718592/y2jAH3Fj_normal.jpg"
"kmbsk80","99","8","8.08081","STRAYA mate! ","928","https://pbs.twimg.com/profile_images/750444328086966272/-iYZVOEm_normal.jpg"
"semajsenrab72","73","2","2.73973","Bexley North, Sydney","139","https://pbs.twimg.com/profile_images/690278400016056320/5xiGvw1S_normal.jpg"
"ToomeyWright","29","2","6.89655","Queenscliff, Victoria, Aust.","838","https://pbs.twimg.com/profile_images/378800000574370953/8d7fd2d4cd6877cd13a36561a010fb6f_normal.png"
"bchcomber","98","4","4.08163","an island in the Coral Sea","2262","https://pbs.twimg.com/profile_images/1811787028/gdpit_com_1224519_224_normal.jpg"
"BevForte","81","4","4.93827","none","986","https://pbs.twimg.com/profile_images/750103634910687232/ozV5roFC_normal.jpg"
"1Swinging_Voter","86","3","3.48837","ALP Being Exposed ","720","https://pbs.twimg.com/profile_images/745034447494348800/vhPs79wE_normal.jpg"
"TechArtDiva","89","2","2.24719","The Big Apple #NYC","1293","https://pbs.twimg.com/profile_images/378800000039518275/8cdd56019f685d12f7a66e06509e26bb_normal.png"
"vanbadham","49","1","2.04082","Melbourne, Victoria","38467","https://pbs.twimg.com/profile_images/687050989304598528/kl7jNeyv_normal.jpg"
